id,stockId,stockName,stockClass,startDate
541,3043,科風,其他電子業,2002/08/26
542,3044,健鼎,電子零組件業,2002/08/26
543,3045,台灣大,通信網路業,2002/08/26
544,3046,建碁,電腦及週邊設備業,2002/08/26
545,3047,訊舟,通信網路業,2002/08/26
546,3048,益登,電子通路業,2002/10/01
547,3049,和鑫,光電業,2002/09/27
548,3050,鈺德,光電業,2002/10/29
549,3051,力特,光電業,2002/10/28
550,3052,夆典,建材營造業,1995/11/25
551,3054,立萬利,半導體業,2002/11/18
552,3055,蔚華科,電子通路業,2002/12/12
553,3056,總太,建材營造業,2003/03/03
554,3057,喬鼎,電腦及週邊設備業,2002/12/18
555,3058,立德,電子零組件業,2002/12/09
556,3059,華晶科,光電業,2002/12/24
557,3060,銘異,電腦及週邊設備業,2003/04/21
558,3062,建漢,通信網路業,2003/07/28
559,3090,日電貿,電子零組件業,2007/12/31
560,3092,鴻碩,電子零組件業,2021/05/13
561,3094,聯傑,半導體業,2007/08/06
562,3130,一零四,資訊服務業,2006/02/17
563,3138,耀登,通信網路業,2020/12/11
564,3149,正達,光電業,2011/11/23
565,3164,景岳,生技醫療業,2010/03/22
566,3167,大量,電機機械,2013/10/21
567,3189,景碩,半導體業,2004/11/01
568,3209,全科,電子通路業,2008/11/26
569,3229,晟鈦,電子零組件業,2009/12/31
570,3231,緯創,電腦及週邊設備業,2003/08/19
571,3257,虹冠電,半導體業,2011/03/21
572,3266,昇陽,建材營造業,2014/12/24
573,3296,勝德,電子零組件業,2007/12/31
574,3305,昇貿,其他電子業,2008/07/10
575,3308,聯德,電子零組件業,2008/03/12
576,3311,閎暉,通信網路業,2004/03/08
577,3312,弘憶股,電子通路業,2010/12/29
578,3321,同泰,電子零組件業,2015/12/15
579,3338,泰碩,電子零組件業,2013/12/13
580,3346,麗清,汽車工業,2016/12/19
581,3356,奇偶,光電業,2005/03/28
582,3376,新日興,電子零組件業,2007/12/31
583,3380,明泰,通信網路業,2004/12/20
584,3406,玉晶光,光電業,2005/12/20
585,3413,京鼎,半導體業,2015/07/28
586,3416,融程電,電腦及週邊設備業,2015/01/23
587,3419,譁裕,通信網路業,2008/01/21
588,3432,台端,電子零組件業,2010/12/30
589,3437,榮創,光電業,2014/07/09
590,3443,創意,半導體業,2006/11/03
591,3447,展達,通信網路業,2022/12/15
592,3450,聯鈞,半導體業,2006/04/12
593,3454,晶睿,光電業,2011/07/22
594,3481,群創,光電業,2006/10/24
595,3494,誠研,電腦及週邊設備業,2007/12/13
596,3501,維熹,電子零組件業,2007/09/20
597,3504,揚明光,光電業,2007/01/26
598,3515,華擎,電腦及週邊設備業,2007/11/08
599,3518,柏騰,其他電子業,2007/11/28
600,3528,安馳,電子通路業,2016/05/18
601,3530,晶相光,半導體業,2018/07/16
602,3532,台勝科,半導體業,2007/12/10
603,3533,嘉澤,電子零組件業,2007/12/10
604,3535,晶彩科,光電業,2008/01/31
605,3536,誠創,半導體業,2008/04/30
606,3543,州巧,光電業,2020/04/15
607,3545,敦泰,半導體業,2007/07/03
608,3550,聯穎,電子零組件業,2010/11/10
609,3557,嘉威,其他業,2008/02/27
610,3563,牧德,光電業,2019/04/02
611,3576,聯合再生,光電業,2009/01/12
612,3583,辛耘,半導體業,2013/03/12
613,3588,通嘉,半導體業,2009/08/14
614,3591,艾笛森,光電業,2010/11/12
615,3592,瑞鼎,半導體業,2022/01/07
616,3593,力銘,電子零組件業,2009/03/16
617,3596,智易,通信網路業,2009/03/11
618,3605,宏致,電子零組件業,2009/03/26
619,3607,谷崧,電子零組件業,2009/10/28
620,3617,碩天,其他電子業,2009/12/23
621,3622,洋華,光電業,2009/03/25
622,3645,達邁,電子零組件業,2011/10/05
623,3652,精聯,電腦及週邊設備業,2022/09/21
624,3653,健策,電子零組件業,2009/11/18
625,3661,世芯-KY,半導體業,2014/10/28
626,3665,貿聯-KY,其他電子業,2011/04/21
627,3669,圓展,通信網路業,2011/08/25
628,3673,TPK-KY,光電業,2010/10/29
629,3679,新至陞,電子零組件業,2011/10/05
630,3682,亞太電,通信網路業,2013/08/05
631,3686,達能,半導體業,2010/07/20
632,3694,海華,通信網路業,2011/05/03
633,3701,大眾控,電腦及週邊設備業,2004/08/30
634,3702,大聯大,電子通路業,2005/11/09
635,3703,欣陸,建材營造業,2010/04/08
636,3704,合勤控,通信網路業,2010/08/16
